Date,Item,Value,Label,unit,Note,Category,Color,Size
2018-02-20T14:29:52-05:00,Butter,1,,,,Nutrition,3,0.5
2018-02-20T15:39:26-05:00,Tortuga,1,,,SoundCloud,2,.5
2018-02-20T15:41:29-05:00,Repeater,1,,,SoundCloud, Audio,8,.5
2018-02-20T16:30:46-05:00,Butter, 1,,,,Nutrition,3,0.5
2018-02-20T16:40:33-05:00,Tortuga,1,,,Pandora, Audio,2,.5
2018-02-20T18:38:43-05:00,Reptile,1,,,Pandora, Audio,1,.5
2018-02-20T19:18:02-05:00,Water,20,,ounces,,Health,1,1
2018-02-20T21:38:35-05:00,Tortuga,1,,,Pandora, Audio,2,.5
2018-02-20T21:41:12-05:00, Ketones,40,,mg/dL,,Health,3,1
2018-02-20T22:19:27-05:00,Meal, 1,,,,Nutrition,1,0.5
2018-02-20T22:20:59-05:00,Water,20,,ounces,,Health,1,1
2018-02-21T00:22:32-05:00,Alcohol, 2,,,,Nutrition,6,1
2018-02-21T04:09:36-05:00, Steps,12011,,,,Health,5,1.71585714285714285714285714285714285714
2018-02-21T04:24:22-05:00,Water,20,,ounces,,Health,1,1
2018-02-21T04:24:41-05:00, Ketones,40,,mg/dL,,Health,3,1
2018-02-21T04:44:07-05:00,Fiction,1,,,OverDrive, Audio,6,.5
2018-02-21T12:14:06-05:00, Sleep,7,,hrs,,Health,6,1
2018-02-21T12:17:23-05:00, Ketones,15,,mg/dL,,Health,3,0.375
2018-02-21T12:20:14-05:00, Weight,137,,lb,,Health,4,1
2018-02-21T12:43:26-05:00,Butter, 1,,,,Nutrition,3,0.5
2018-02-21T13:43:51-05:00,Water,20,,ounces,,Health,1,1
2018-02-21T17:37:03-05:00,Sweets, 1,,,Donut with Renato,Nutrition,5,1.5
2018-02-21T20:16:54-05:00,Water,20,,ounces,,Health,1,1
2018-02-21T20:19:53-05:00,Meal, 1,,,Gyro salad,Nutrition,1,0.5
2018-02-21T20:21:19-05:00, Steps,20316,,,,Health,5,2.90228571428571428571428571428571428571
2018-02-21T20:29:57-05:00,Reptile,1,,,Pandora, Audio,1,.5
2018-02-21T23:07:59-05:00,Water,20,,ounces,,Health,1,1
2018-02-21T23:36:07-05:00,Tortuga,1,,,Pandora, Audio,2,.5
2018-02-21T23:41:06-05:00,Meal, 1,,,,Nutrition,1,0.5
